Publication type,Year,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI
Conference Paper,2016,3,17.4,1,17,1,1,99.74,268,16.31
Conference Paper,2016,3,1.2,53,65,1,3,99.031,268,24.33
Conference Paper,2016,3,,,21,1,3,98.684,267,23.3
Article,2016,2,3,19,50,1,2,96.563,267,25.01
Conference Paper,2016,3,,,60,1,1,60.489,267,18.32
Article,2016,4,16.3,1,78,0,2,99.925,267,13.11
Conference Paper,2016,2,17.4,1,32,1,1,99.998,267,13.89
Article,2016,5,8.2,1,479,0,2,99.204,266,15.53
Conference Paper,2016,6,17.4,1,40,1,5,99.74,266,16.21
Article,2016,5,8,6,139,1,4,92.806,266,14.41
Article,2016,2,10.6,3,59,0,2,98.482,266,19.09
Conference Paper,2016,6,17.4,1,27,1,3,99.74,266,14.21
Article,2016,2,5.3,6,92,0,2,94.64,265,10.09
Article,2016,3,6.2,4,325,0,3,99.945,265,16.05
Conference Paper,2016,3,2.2,50,20,1,1,99.998,265,6.63
Article,2016,3,0.7,63,43,1,1,97.357,265,14.93
Conference Paper,2016,4,,,44,1,2,99.74,264,29.65
Conference Paper,2016,3,,,15,1,1,87.319,264,12.57
Article,2016,2,8.7,5,31,0,1,97.163,264,10.77
Conference Paper,2016,9,1.6,40,24,0,5,96.198,263,30.18
Article,2016,6,6.3,10,52,0,2,95.315,263,8.02
Review,2016,3,6.8,7,132,1,11,90.189,263,6.45
Article,2016,4,16.3,1,69,0,7,96.848,263,13.74
Article,2016,7,14.2,1,41,0,2,39.22,263,11.91
Conference Paper,2016,3,,,83,0,1,98.211,263,27.38
Article,2016,5,9.5,2,48,1,5,99.467,262,23.06
Article,2016,4,16.3,1,61,0,2,97.261,262,14.26
Article,2016,3,17.7,1,27,1,4,99.79,262,14.66
Conference Paper,2016,69,,,43,0,2,99.057,262,21.3
Article,2016,3,9.5,2,28,1,5,99.731,262,17.79
Article,2016,3,7.1,3,105,1,3,99.876,262,17.19
Article,2016,5,4.8,17,137,0,5,97.868,262,14.26
Article,2016,4,7.6,8,158,0,5,95.724,261,9.45
Article,2016,6,14,2,197,1,8,95.734,261,20.97
Conference Paper,2016,5,,,23,1,2,99.797,261,32.55
Review,2016,5,1.3,56,267,1,7,94.183,261,3.83
Article,2016,3,1.9,48,173,0,4,3.973,261,10.08
Article,2016,3,4.3,7,86,0,2,79.235,261,12.87
Article,2016,2,4.3,10,161,0,3,99.833,261,11.88
Article,2016,4,10.8,1,35,1,2,99.558,260,14.66
Chapter,2016,8,1.6,40,139,1,6,92.884,260,55.58
Conference Paper,2016,4,1.6,40,58,0,1,98.84,260,28.49
Article,2016,3,8.2,5,94,0,2,79.194,260,13.23
Article,2016,3,6.4,9,42,1,3,99.716,260,13.45
Article,2016,5,14.6,1,66,0,2,99.956,260,15.06
Article,2016,3,16.2,1,49,1,3,82.944,260,11.9
Article,2016,3,10.8,1,13,0,4,99.556,259,10.93
Article,2016,4,10,3,166,1,4,98.927,259,13.38
Conference Paper,2016,5,,,20,0,1,99.998,259,29.44
Article,2016,5,6.4,9,83,0,4,99.716,259,16.44
Article,2016,4,8,6,54,1,1,99.127,259,15.27
Article,2016,5,8.2,5,127,0,3,99.115,259,13.97
Conference Paper,2016,4,,,33,0,3,99.707,259,23.47
Conference Paper,2016,5,,,53,0,3,99.916,258,25.06
Article,2016,4,8.7,5,27,1,2,95.696,258,10.77
Article,2016,4,6.4,9,46,0,2,99.716,258,15.35
Article,2016,5,4.3,10,138,1,2,99.833,257,14.03
Article,2016,4,6.5,9,70,0,4,99.49,257,14.71
Article,2016,2,9,4,125,0,1,98.855,257,13.8
Conference Paper,2016,3,,,59,0,3,98.785,257,18.15
Article,2016,6,13.1,1,96,0,5,93.708,257,20.01
Conference Paper,2016,8,,,52,0,2,99.998,257,29.01
Article,2016,1,10.6,3,51,0,1,99.318,256,12.59
Article,2016,3,15.6,1,43,1,1,99.333,255,21.42
Conference Paper,2016,4,17.4,1,35,1,2,99.998,255,12.52
Review,2016,3,4.3,7,251,0,1,98.254,255,8.64
Conference Paper,2016,2,17.4,1,25,1,1,97.923,255,16.1
Conference Paper,2016,2,1.6,40,26,1,1,99.707,255,35.25
Conference Paper,2016,5,6,12,26,1,4,96.818,254,17.47
Conference Paper,2016,5,17.4,1,30,1,2,99.33,254,17.78
Article,2016,4,12,2,50,0,2,98.529,254,16.96
Conference Paper,2016,4,11.1,1,35,1,2,86.528,254,19.53
Article,2016,4,6,4,152,1,9,98.65,254,17.78
Article,2016,3,8,6,39,0,2,98.684,254,14.62
Conference Paper,2016,6,,,36,0,2,80.512,254,18.32
Article,2016,7,5.2,8,228,0,2,99.981,254,8.94
Article,2016,7,10.2,3,45,0,5,97.284,254,11.62
Review,2016,6,6.3,10,120,0,8,99.622,254,5.71
Article,2016,5,4.8,20,219,0,4,81.346,253,10.32
Article,2016,4,1.6,48,441,1,6,99.802,253,9.18
Conference Paper,2016,3,1.6,40,19,0,1,98.035,253,22.46
Conference Paper,2016,5,17.4,1,41,0,3,99.629,253,14.94
Review,2016,5,7.4,1,212,1,5,94.493,253,8.13
Review,2016,2,4.3,7,429,0,3,98.254,253,6.21
Article,2016,2,8.8,1,264,0,3,99.946,252,12.48
Article,2016,6,10.1,1,379,0,3,96.107,252,26.3
Article,2016,5,6.1,12,248,0,3,68.118,252,16.77
Article,2016,4,5.7,14,327,1,3,99.911,252,16.59
Article,2016,53,4.7,5,43,1,17,99.805,252,23.56
Article,2016,4,9,4,85,0,1,81.309,252,9.26
Review,2016,9,7.3,3,126,0,5,99.241,251,6.26
Conference Paper,2016,5,17.4,1,27,0,3,99.998,251,14.63
Short Survey,2016,11,9.2,3,264,1,11,96.23,251,5.28
Conference Paper,2016,3,1.4,53,49,1,1,99.685,251,35.13
Conference Paper,2016,6,,,19,0,3,99.733,251,14.45
Conference Paper,2016,5,17.4,1,44,1,6,99.629,251,14.52
Article,2016,5,4.8,17,76,0,3,99.331,251,10.82
Article,2016,3,5.2,5,28,0,5,98.039,250,20.43
Conference Paper,2016,4,1.6,40,15,1,3,99.998,250,20.77
Article,2016,3,11.9,3,263,0,5,99.681,250,11.54
Article,2016,2,10.8,1,97,1,2,93.386,250,14.66
Conference Paper,2016,4,,,18,0,1,99.733,249,28.05
Conference Paper,2016,3,,,44,1,1,94.057,249,15.74
Conference Paper,2016,4,,,33,1,2,99.98,249,27.82
Article,2016,3,12,2,58,0,5,99.036,249,17.8
Article,2016,3,7.6,6,48,1,1,96.378,249,12.75
Conference Paper,2016,7,,,98,1,1,99.748,249,27.12
Review,2016,3,5.4,14,77,1,1,87.597,249,4.18
Article,2016,5,4.9,17,89,0,1,62.726,249,9.14
Article,2016,7,10.8,1,27,1,4,95.607,249,9.37
Conference Paper,2016,2,,,26,0,1,97.726,248,30.08
Article,2016,2,4.2,14,15,0,1,99.731,248,16.7
Book,2016,3,,,70,0,3,99.354,248,13.38
Article,2016,1,6.2,4,263,0,1,96.975,248,15.68
Conference Paper,2016,2,,,119,0,1,96.021,248,24.32
Conference Paper,2016,4,,,13,1,3,99.581,248,22.19
Article,2016,3,22,1,65,0,6,95.872,248,15.82
Conference Paper,2016,5,1.6,40,152,1,2,99.98,248,30.42
Review,2016,2,5.4,14,206,1,1,99.915,248,3.02
Article,2016,5,14.2,1,26,0,2,91.502,248,17.14
Conference Paper,2016,3,1.8,45,14,1,2,99.883,247,44.38
Article,2016,4,9.5,2,32,1,5,99.79,247,17.92
Conference Paper,2016,2,,,17,1,1,99.998,247,16.58
Article,2016,1,8.8,4,36,1,2,94.756,247,11.52
Conference Paper,2016,3,17.4,1,36,0,1,99.385,247,11.89
Conference Paper,2016,4,,,29,0,2,99.916,247,25.92
Article,2016,3,9.7,1,223,1,4,98.287,246,12.21
Article,2016,3,16.3,1,80,0,5,99.386,246,13.22
Conference Paper,2016,3,7.6,9,50,0,1,92.938,246,17.48
Article,2016,3,13.1,1,79,0,1,99.876,246,23.48
Conference Paper,2016,8,9.2,3,40,0,5,99.79,246,44.27
Conference Paper,2016,5,,,20,0,1,98.429,246,35.39
Article,2016,3,3.6,16,88,0,1,99.981,245,8.52
Conference Paper,2016,3,,,35,0,1,93.343,245,23.87
Article,2016,11,17.7,1,114,1,7,99.883,245,14.04
Article,2016,2,5.2,5,23,0,3,98.039,245,17.37
Article,2016,4,3.1,29,142,0,1,90.939,245,16.16
Article,2016,3,10.2,3,43,1,4,93.403,245,14.67
Conference Paper,2016,4,6,7,40,0,3,99.956,244,38.82
Article,2016,4,5.3,2,257,0,3,99.945,244,10.58
Article,2016,5,14.2,1,38,0,3,93.066,244,16.73
Conference Paper,2016,4,1.6,40,24,1,1,97.691,244,23.42
Article,2016,3,7.1,3,45,1,2,93.588,244,16.39
Article,2016,2,5.2,14,205,1,1,95.257,244,13.4
Conference Paper,2016,3,17.4,1,15,1,1,99.998,244,12.63
Article,2016,4,9.5,2,41,1,2,99.212,244,22.3
Article,2016,4,13.1,1,61,0,4,99.876,244,27.9
Article,2016,4,4.2,14,22,0,4,99.731,244,17.43
Article,2016,5,13.1,1,82,1,2,99.879,243,20.59
Article,2016,2,10.2,3,33,1,1,98.529,243,10.54
Article,2016,4,5.9,3,226,0,3,98.531,243,20.12
Conference Paper,2016,7,,,613,0,5,99.519,243,26.16
Article,2016,2,7.3,3,220,0,3,98.475,243,14.93
Article,2016,4,13.1,1,123,0,5,99.876,243,25.59
Conference Paper,2016,5,,,19,0,1,99.409,243,20.35
Article,2016,5,5.1,14,34,0,3,99.359,243,13.57
Article,2016,3,12,2,42,0,2,99.716,242,17.38
Review,2016,15,,,40,1,23,91.054,242,6.3
Review,2016,1,,,46,1,1,99.347,242,5.14
Article,2016,3,14,2,52,1,3,93.995,242,15.39
Conference Paper,2016,5,1.6,40,14,1,1,99.707,242,27.53
Conference Paper,2016,4,17.4,1,30,1,2,99.998,242,10.73
Review,2016,6,,,95,1,2,99.681,241,4.39
Article,2016,4,8.8,1,60,1,2,80.076,241,16.83
Review,2016,8,5.4,14,232,1,1,99.874,241,3.62
Conference Paper,2016,13,11.1,1,30,1,1,75.29,241,21.73
Article,2016,2,5.2,6,185,1,1,99.293,241,14.43
Article,2016,1,4.7,18,38,0,1,99.285,241,9.01
Conference Paper,2016,3,3.5,25,22,0,1,99.057,241,32.5
Article,2016,12,4.7,5,58,1,16,12.494,241,9.39
Conference Paper,2016,3,,,16,0,1,96.394,241,35.81
Conference Paper,2016,4,1.6,40,22,1,2,96.411,241,26.8
Article,2016,2,6.2,4,239,0,2,99.888,240,10.66
Article,2016,4,5.6,5,222,0,2,99.859,240,19.41
Conference Paper,2016,2,1.6,40,17,1,1,99.998,240,19.56
Article,2016,1,0.3,86,17,1,1,96.732,240,4.88
Article,2016,2,12,2,50,0,2,99.716,240,12.04
Article,2016,4,8.7,5,31,0,2,96.334,240,11.99
Conference Paper,2016,3,,,26,1,3,99.294,240,19.2
Article,2016,2,9.6,3,35,1,3,99.334,239,10.87
Article,2016,3,9.6,3,53,0,3,97.336,239,8.6
Conference Paper,2016,2,1.6,40,20,1,1,99.998,239,29.46
Conference Paper,2016,3,,,9,0,1,99.998,239,15.08
Article,2016,4,5.1,14,68,1,2,99.152,239,16.02
Article,2016,4,14.6,1,30,0,2,99.956,239,13.25
Review,2016,1,3.5,14,69,1,2,99.294,239,6.53
Article,2016,3,9.5,5,244,0,2,98.961,238,11.31
Article,2016,14,5.1,9,44,1,10,96.481,238,18.57
Article,2016,6,15.2,1,52,0,3,98.662,238,8.82
Article,2016,2,8.2,1,167,0,2,98.927,238,14.07
Article,2016,2,6,4,109,0,1,99.906,238,22.16
Article,2016,4,5.8,11,222,0,4,27.536,238,12.53
Article,2016,2,4.8,8,177,0,2,99.643,237,11.83
Article,2016,3,6.2,4,250,1,4,99.888,237,7.6
Conference Paper,2016,5,,,43,1,1,86.649,237,28.15
Book,2016,3,,,169,0,3,96.214,237,9.39
Review,2016,2,16.1,1,149,0,1,99.855,237,5.26
Chapter,2016,5,,,90,1,3,99.956,237,58.42
Article,2016,2,9.2,3,89,0,1,99.637,237,13.44
Conference Paper,2016,3,1,46,105,0,1,99.911,237,21.38
Conference Paper,2016,1,,,23,1,1,99.125,237,11.41
Review,2016,1,4.3,7,99,0,1,94.161,237,5.37
Article,2016,5,5.5,6,79,0,3,94.551,237,18
Conference Paper,2016,4,,,42,0,3,99.902,236,28.63
Conference Paper,2016,5,17.4,1,34,1,3,98.628,236,15.68
Article,2016,3,8.2,1,222,0,2,92.092,236,10.09
Article,2016,2,6.2,4,239,1,1,99.888,236,9.43
Article,2016,5,15.2,1,42,0,5,88.912,236,16.77
Article,2016,3,4.9,17,49,0,4,97.673,235,6.12
Article,2016,6,6.4,9,46,0,4,95.187,235,11.66
Conference Paper,2016,4,1.2,53,90,1,9,98.661,235,19.35
Conference Paper,2016,2,,,10,1,2,96.953,235,16.53
Conference Paper,2016,3,,,31,1,3,99.722,235,22.27
Article,2016,3,13.1,1,85,0,2,99.876,235,22.51
Article,2016,6,6.2,4,255,1,4,99.945,235,10.41
Article,2016,9,5.5,14,387,1,6,99.278,235,10.06
Conference Paper,2016,8,,,30,1,2,88.507,235,18.64
Article,2016,1,10.2,3,26,1,2,99.125,235,12.9
Article,2016,5,16.2,1,66,0,2,99.502,234,15.14
Conference Paper,2016,4,,,30,0,1,98.402,234,26.62
Article,2016,3,9.5,2,72,1,2,98.244,234,16.92
Article,2016,3,6,4,324,1,3,99.245,234,13.41
Conference Paper,2016,5,,,29,0,3,99.998,234,33.03
